"","Retailer_country","Order_method_type","Retailer_type","Product_line","Product_type","Product","Year","Quarter","Revenue","Quantity","Gross_margin","pred"
"1805","Mexico","Special","Outdoors Shop","Mountaineering Equipment","Safety","Granite Signal Mirror",2012,"Q1 2012",8537.76,264,0.51422387,8422.03181181556
"1845","Brazil","Web","Golf Shop","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8852.8,176,0.39639662,8596.4469496263
"1889","Brazil","Web","Department Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8459.18,73,0.49188456,8592.438509317
"1896","Brazil","Web","Department Store","Personal Accessories","Eyewear","Maximus",2012,"Q1 2012",8480,106,0.492375,8593.72276689183
"1901","Brazil","Web","Department Store","Personal Accessories","Knives","Bear Survival Edge",2012,"Q1 2012",8414.88,94,0.49731903,8593.25576413735
"1917","Brazil","Web","Department Store","Outdoor Protection","Sunscreen","Sun Shield",2012,"Q1 2012",8567.16,1457,0.53061224,8646.29949366719
"2142","Brazil","Web","Sports Store","Golf Equipment","Putters","Blue Steel Putter",2012,"Q1 2012",8927.01,107,0.50617284,8593.76168378803
"2166","Japan","Telephone","Golf Shop","Personal Accessories","Watches","Venue",2012,"Q1 2012",8687,119,0.41863014,8594.22868654252
"2168","Japan","Telephone","Golf Shop","Personal Accessories","Watches","Sam",2012,"Q1 2012",8486.1,189,0.39153675,8596.95286927699
"2179","Japan","Telephone","Golf Shop","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8249.2,164,0.39662028,8595.97994687182
"2196","Japan","Telephone","Direct Marketing","Camping Equipment","Lanterns","Firefly Mapreader",2012,"Q1 2012",8231.8,521,0.52531646,8609.87327881764
"2230","Japan","Telephone","Sports Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8304.48,72,0.48950928,8592.3995924208
"2287","Japan","Mail","Sports Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8410.2,214,0.40127226,8597.92579168216
"2395","Japan","Web","Golf Shop","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8977,235,0.53979058,8598.7430465025
"2473","Japan","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8793.05,259,0.58645066,8599.67705201146
"2588","Japan","Web","Outdoors Shop","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8827,260,0.58645066,8599.71596890767
"2766","Singapore","Fax","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8270.32,138,0.56365655,8594.96810757044
"2798","Singapore","Telephone","Department Store","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q1 2012",8662.58,113,0.49126011,8593.99518516527
"2953","Singapore","Web","Warehouse Store","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8697.5,175,0.43420523,8596.40803273009
"2984","Singapore","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8250.2,166,0.43420523,8596.05778066423
"2993","Singapore","Web","Outdoors Shop","Mountaineering Equipment","Safety","Granite Signal Mirror",2012,"Q1 2012",8537.76,264,0.51422387,8599.8716364925
"2994","Singapore","Web","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8688.96,224,0.42768755,8598.31496064423
"3015","Singapore","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Ice",2012,"Q1 2012",8553.6,81,0.52945076,8592.74984448666
"3037","Singapore","Web","Outdoors Shop","Personal Accessories","Binoculars","Opera Vision",2012,"Q1 2012",8250,75,0.54354545,8592.51634310942
"3058","Singapore","Special","Outdoors Shop","Camping Equipment","Lanterns","Firefly Lite",2012,"Q1 2012",8239.75,575,0.52896022,8434.13496653587
"3059","Singapore","Special","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8299.9,167,0.43420523,8418.2568728835
"3099","Korea","Web","Golf Shop","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8302.5,123,0.4557037,8594.38435412734
"3181","Korea","Web","Department Store","Personal Accessories","Eyewear","Polar Wave",2012,"Q1 2012",8749.53,94,0.55822998,8593.25576413735
"3242","Korea","Web","Direct Marketing","Outdoor Protection","Sunscreen","Sun Shield",2012,"Q1 2012",8549.58,1469,0.5257732,8646.76649642167
"3394","Korea","Sales visit","Equipment Rental Store","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8643.14,144,0.564325,8595.20160894769
"3397","Korea","Sales visit","Equipment Rental Store","Personal Accessories","Knives","Bear Survival Edge",2012,"Q1 2012",8675,100,0.48126801,8593.48926551459
"3471","China","Web","Department Store","Personal Accessories","Eyewear","Fairway",2012,"Q1 2012",8563.75,425,0.40347395,8606.13725678179
"3515","China","Web","Outdoors Shop","Camping Equipment","Cooking Gear","TrailChef Utensils",2012,"Q1 2012",8448.3,447,0.47089947,8524.2155663933
"3603","China","Web","Outdoors Shop","Outdoor Protection","Sunscreen","Sun Shelter Stick",2012,"Q1 2012",8812.8,1836,0.59166667,8661.04899732956
"3628","China","Web","Eyewear Store","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8327.6,218,0.53852971,8598.08145926699
"3707","China","Web","Sports Store","Outdoor Protection","Sunscreen","Sun Shelter Stick",2012,"Q1 2012",8870.4,1848,0.59166667,8661.51600008404
"3778","Australia","Telephone","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8643.6,252,0.59067055,8599.40463373802
"3802","Australia","Telephone","Outdoors Shop","Camping Equipment","Lanterns","Firefly Lite",2012,"Q1 2012",8942.46,618,0.53351762,8613.6482177497
"3805","Australia","Telephone","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8838.72,176,0.44006372,8596.4469496263
"3819","Australia","Telephone","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8417.43,217,0.42768755,8598.04254237078
"3830","Australia","Telephone","Outdoors Shop","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q1 2012",8925.06,114,0.50185209,8594.03410206148
"3833","Australia","Telephone","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8626.6,140,0.57561496,8595.04594136286
"3898","Australia","Web","Department Store","Personal Accessories","Watches","Lux",2012,"Q1 2012",8527.2,51,0.47882775,8591.58233760045
"3902","Australia","Web","Department Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8781.9,73,0.44422278,8592.438509317
"3952","Australia","Web","Eyewear Store","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8903.1,177,0.39542744,8596.48586652251
"3954","Australia","Web","Eyewear Store","Personal Accessories","Eyewear","Hawk Eye",2012,"Q1 2012",8302.5,205,0.43407407,8597.5755396163
"3997","Australia","Sales visit","Warehouse Store","Camping Equipment","Cooking Gear","TrailChef Utensils",2012,"Q1 2012",8240.4,436,0.47089947,8523.78748053503
"4010","Australia","Sales visit","Equipment Rental Store","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q1 2012",8911.18,226,0.51382196,8598.39279443664
"4038","Australia","Sales visit","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Belay",2012,"Q1 2012",8619.8,131,0.47613982,8594.695689297
"4041","Australia","Sales visit","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Charger",2012,"Q1 2012",8429.6,164,0.56498054,8595.97994687182
"4265","Netherlands","Web","Golf Shop","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8421,70,0.44272652,8592.32175862838
"4400","Netherlands","Web","Outdoors Shop","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8556.8,224,0.53717277,8598.31496064423
"4411","Netherlands","Web","Eyewear Store","Personal Accessories","Watches","Sam",2012,"Q1 2012",8306.5,185,0.39153675,8596.79720169216
"4473","Sweden","E-mail","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Carabiner",2012,"Q1 2012",8610.8,2266,0.48421053,8677.78326269847
"4475","Sweden","E-mail","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Pulley",2012,"Q1 2012",8662.1,235,0.50217037,8598.7430465025
"4552","Sweden","Web","Department Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8300.7,69,0.44292168,8592.28284173218
"4582","Sweden","Web","Department Store","Golf Equipment","Golf Accessories","Course Pro Umbrella",2012,"Q1 2012",8548.5,722,0.49324443,8511.75219206404
"4594","Sweden","Web","Warehouse Store","Camping Equipment","Lanterns","EverGlow Single",2012,"Q1 2012",8834.85,261,0.46706056,8599.75488580388
"4658","Sweden","Web","Sports Store","Personal Accessories","Watches","Sam",2012,"Q1 2012",8531,190,0.39153675,8596.9917861732
"4680","Sweden","Web","Sports Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8413.79,49,0.45186652,8591.50450380804
"4723","Denmark","Web","Department Store","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q1 2012",8233.22,211,0.50871348,8597.80904099354
"4746","Denmark","Web","Department Store","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8845.42,147,0.56541917,8595.31835963631
"4798","Denmark","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q1 2012",8336.52,166,0.44006372,8596.05778066423
"4825","Denmark","Web","Outdoors Shop","Personal Accessories","Watches","Infinity",2012,"Q1 2012",8800,40,0.47402727,8591.15425174218
"4874","Denmark","Web","Eyewear Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8928.92,52,0.45186652,8591.62125449666
"4881","Denmark","Web","Sports Store","Personal Accessories","Watches","Sam",2012,"Q1 2012",8800.4,196,0.39153675,8597.22528755044
"4901","Denmark","Sales visit","Direct Marketing","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q1 2012",8477.45,215,0.51382196,8597.96470857837
"4977","Finland","Web","Warehouse Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8685.3,221,0.40127226,8598.19820995561
"5031","Finland","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q1 2012",8734.11,147,0.55988074,8595.31835963631
"5046","Finland","Web","Outdoors Shop","Personal Accessories","Binoculars","Seeker Mini",2012,"Q1 2012",8606.01,107,0.50267313,8593.76168378803
"5226","France","Fax","Sports Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8410.2,214,0.40127226,8597.92579168216
"5244","France","Telephone","Golf Shop","Personal Accessories","Eyewear","Bella",2012,"Q1 2012",8370,124,0.45348148,8594.42327102355
"5337","France","Telephone","Outdoors Shop","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q1 2012",8896.15,31,0.59511811,8590.80399967632
"5385","France","Telephone","Eyewear Store","Personal Accessories","Knives","Max Gizmo",2012,"Q1 2012",8595,225,0.53918557,8598.35387754043
"5423","France","Telephone","Sports Store","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q1 2012",8389.8,30,0.58453122,8590.76508278011
"5428","France","Telephone","Sports Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8724.6,222,0.40127226,8598.23712685181
"5430","France","Telephone","Sports Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q1 2012",8927.73,111,0.50267313,8593.91735137286
"5649","France","Web","Eyewear Store","Personal Accessories","Eyewear","Trendi",2012,"Q1 2012",8701.9,173,0.39662028,8596.33019893768
"5690","France","Web","Sports Store","Personal Accessories","Eyewear","Polar Ice",2012,"Q1 2012",8408.4,80,0.52723467,8592.71092759045
"5805","France","Sales visit","Eyewear Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8419.82,73,0.48950928,8592.438509317
"5810","Germany","Mail","Warehouse Store","Camping Equipment","Cooking Gear","TrailChef Utensils",2012,"Q1 2012",8482.16,458,0.4600432,8524.64365225158
"6037","Germany","Web","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8301.06,214,0.42768755,8597.92579168216
"6112","Germany","Web","Eyewear Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8585.5,50,0.45186652,8591.54342070425
"6151","Germany","Web","Sports Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q1 2012",8922.24,261,0.54307214,8599.75488580388
"6339","Switzerland","Fax","Sports Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8781.9,73,0.44352589,8592.438509317
"6379","Switzerland","Web","Golf Shop","Personal Accessories","Eyewear","Hawk Eye",2012,"Q1 2012",8262,204,0.39975309,8597.53662272009
"6473","Switzerland","Web","Warehouse Store","Personal Accessories","Navigation","Glacier Deluxe",2012,"Q1 2012",8325.95,89,0.39893105,8593.06117965631
"6557","Switzerland","Web","Eyewear Store","Personal Accessories","Watches","Kodiak",2012,"Q1 2012",8541.3,71,0.44272652,8592.36067552459
"6560","Switzerland","Web","Eyewear Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8881.18,77,0.48950928,8592.59417690183
"6787","United Kingdom","Telephone","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Rechargeable Battery",2012,"Q1 2012",8411.6,1091,0.5914392,8632.05590965551
"6869","United Kingdom","E-mail","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Rechargeable Battery",2012,"Q1 2012",8380.8,1080,0.59407216,8631.62782379723
"6881","United Kingdom","E-mail","Outdoors Shop","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8488.8,216,0.40127226,8598.00362547457
"7028","United Kingdom","Web","Warehouse Store","Camping Equipment","Cooking Gear","TrailChef Utensils",2012,"Q1 2012",8505,450,0.47089947,8524.33231708192
"7081","United Kingdom","Web","Outdoors Shop","Mountaineering Equipment","Safety","Granite Signal Mirror",2012,"Q1 2012",8811,267,0.52393939,8599.98838718112
"7088","United Kingdom","Web","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Chalk Bag",2012,"Q1 2012",8605.44,484,0.52024301,8608.43335365799
"7436","Belgium","Web","Eyewear Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8585.5,50,0.45186652,8591.54342070425
"7505","Belgium","Web","Sports Store","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8585.5,50,0.45186652,8591.54342070425
"7642","Austria","Telephone","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q1 2012",8266.3,241,0.59067055,8598.97654787974
"7671","Austria","Telephone","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Climbing Lamp",2012,"Q1 2012",8922.91,229,0.43025313,8598.50954512526
"7676","Austria","Telephone","Outdoors Shop","Mountaineering Equipment","Tools","Granite Grip",2012,"Q1 2012",8957.2,457,0.49540816,8607.38259746041
"7684","Austria","Telephone","Outdoors Shop","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q1 2012",8413.79,49,0.45186652,8591.50450380804
"7756","Austria","Web","Direct Marketing","Camping Equipment","Cooking Gear","TrailChef Utensils",2012,"Q1 2012",8391.6,444,0.47089947,8524.09881570468
"7879","Austria","Web","Sports Store","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q1 2012",8366.21,29,0.59724774,8590.72616588391
"7911","Austria","Web","Sports Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q1 2012",8749.34,106,0.51539202,8593.72276689183
"7943","Italy","Fax","Outdoors Shop","Personal Accessories","Watches","TX",2012,"Q1 2012",8640,48,0.45177778,8591.46558691183
"7944","Italy","Fax","Outdoors Shop","Personal Accessories","Watches","Legend",2012,"Q1 2012",8646.4,32,0.44478164,8590.84291657252
"8082","Italy","Web","Department Store","Personal Accessories","Watches","Lux",2012,"Q1 2012",8861.6,53,0.47882775,8591.66017139287
"8092","Italy","Web","Department Store","Personal Accessories","Eyewear","Fairway",2012,"Q1 2012",8402.55,417,0.40347395,8605.82592161214
"8103","Italy","Web","Department Store","Personal Accessories","Binoculars","Opera Vision",2012,"Q1 2012",8360,76,0.544,8592.55526000562
"8170","Italy","Web","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Rechargeable Battery",2012,"Q1 2012",8761.04,1129,0.59407216,8633.53475171136
"8255","Italy","Sales visit","Warehouse Store","Camping Equipment","Lanterns","Firefly Mapreader",2012,"Q1 2012",8547.8,541,0.52531646,8610.65161674178
"8260","Italy","Sales visit","Warehouse Store","Personal Accessories","Knives","Bear Edge",2012,"Q1 2012",8685.3,221,0.40127226,8598.19820995561
"8279","Italy","Sales visit","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Firefly Rechargeable Battery",2012,"Q1 2012",8272.16,1066,0.59407216,8631.08298725034
"8454","Spain","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly Mapreader",2012,"Q1 2012",8200.2,519,0.52531646,8609.79544502523
"8494","Spain","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Sports",2012,"Q1 2012",8765.84,76,0.48950928,8592.55526000562
"8709","United States","Telephone","Department Store","Camping Equipment","Lanterns","EverGlow Double",2012,"Q2 2012",8442.51,165,0.43811141,8596.01886376803
"8712","United States","Telephone","Department Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q2 2012",8305.76,244,0.54112808,8599.09329856836
"8840","United States","Telephone","Outdoors Shop","Personal Accessories","Watches","Infinity",2012,"Q2 2012",8640,39,0.46794444,8591.11533484597
"8841","United States","Telephone","Outdoors Shop","Personal Accessories","Watches","Lux",2012,"Q2 2012",8292.4,47,0.47485408,8591.42667001563
"9086","United States","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8623.3,254,0.58645066,8599.48246753043
"9185","United States","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly 2",2012,"Q2 2012",8243.22,306,0.39631843,8601.50614613318
"9447","United States","Sales visit","Outdoors Shop","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q2 2012",8432.6,110,0.49126011,8593.87843447665
"9750","Canada","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8952.3,261,0.59067055,8599.75488580388
"9778","Canada","Web","Warehouse Store","Camping Equipment","Sleeping Bags","Hibernator Pillow",2012,"Q2 2012",8425.1,487,0.52947977,8608.55010434661
"9928","Canada","Web","Eyewear Store","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8395.1,134,0.44070231,8594.81243998562
"9966","Canada","Web","Sports Store","Personal Accessories","Watches","Mountain Man Digital",2012,"Q2 2012",8965.99,263,0.41333863,8599.83271959629
"10058","Mexico","Web","Golf Shop","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q2 2012",8662.58,113,0.49126011,8593.99518516527
"10063","Mexico","Web","Golf Shop","Personal Accessories","Watches","Kodiak",2012,"Q2 2012",8541.3,71,0.43660099,8592.36067552459
"10120","Mexico","Web","Department Store","Personal Accessories","Eyewear","Maximus",2012,"Q2 2012",8640,108,0.4965,8593.80060068424
"10196","Mexico","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q2 2012",8282.52,136,0.57061377,8594.89027377803
"10210","Mexico","Web","Outdoors Shop","Personal Accessories","Knives","Bear Edge",2012,"Q2 2012",8449.5,215,0.40127226,8597.96470857837
"10288","Mexico","Sales visit","Department Store","Golf Equipment","Golf Accessories","Course Pro Umbrella",2012,"Q2 2012",8514.55,685,0.51729686,8510.31226690438
"10345","Mexico","Sales visit","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q2 2012",8598.1,173,0.43420523,8596.33019893768
"10458","Brazil","Web","Department Store","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q2 2012",8753.46,222,0.51382196,8598.23712685181
"10459","Brazil","Web","Department Store","Camping Equipment","Sleeping Bags","Hibernator Pillow",2012,"Q2 2012",8407.8,486,0.52947977,8608.5111874504
"10476","Brazil","Web","Department Store","Personal Accessories","Watches","Mountain Man Combination",2012,"Q2 2012",8640.59,91,0.52607403,8593.13901344872
"10625","Brazil","Web","Outdoors Shop","Personal Accessories","Knives","Bear Edge",2012,"Q2 2012",8724.6,222,0.40127226,8598.23712685181
"10762","Japan","Telephone","Golf Shop","Personal Accessories","Watches","Mountain Man Combination",2012,"Q2 2012",8936.58,94,0.52666456,8593.25576413735
"10837","Japan","E-mail","Department Store","Camping Equipment","Lanterns","Firefly Mapreader",2012,"Q2 2012",8848,560,0.52531646,8611.39103776971
"10856","Japan","E-mail","Department Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q2 2012",8525.58,106,0.50267313,8593.72276689183
"10931","Japan","Web","Department Store","Camping Equipment","Cooking Gear","TrailChef Canteen",2012,"Q2 2012",8650.8,712,0.45514403,8534.5285438881
"10950","Japan","Web","Department Store","Camping Equipment","Lanterns","Firefly Mapreader",2012,"Q2 2012",8895.4,563,0.52531646,8611.50778845833
"10983","Japan","Web","Department Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q2 2012",8847.3,110,0.50267313,8593.87843447665
"11016","Japan","Web","Outdoors Shop","Camping Equipment","Cooking Gear","TrailChef Utensils",2012,"Q2 2012",8618.4,456,0.47089947,8524.56581845916
"11072","Japan","Web","Outdoors Shop","Personal Accessories","Watches","Zodiak",2012,"Q2 2012",8681.8,83,0.42428298,8592.82767827907
"11191","Japan","Web","Sports Store","Personal Accessories","Eyewear","Polar Ice",2012,"Q2 2012",8783.5,82,0.53610975,8592.78876138286
"11296","Singapore","Web","Golf Shop","Personal Accessories","Watches","Infinity",2012,"Q2 2012",8580,38,0.45662005,8591.07641794977
"11301","Singapore","Web","Golf Shop","Personal Accessories","Eyewear","Polar Ice",2012,"Q2 2012",8968.3,86,0.52350613,8592.94442896769
"11311","Singapore","Web","Golf Shop","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8457.75,135,0.44772546,8594.85135688182
"11389","Singapore","Web","Department Store","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8332.45,133,0.44772546,8594.77352308941
"11414","Singapore","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8385.65,247,0.58645066,8599.21004925698
"11498","Singapore","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly Mapreader",2012,"Q2 2012",8658.4,548,0.52531646,8610.92403501522
"11708","Korea","Web","Department Store","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q2 2012",8697.5,175,0.43420523,8596.40803273009
"11712","Korea","Web","Department Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q2 2012",8510,250,0.54112808,8599.3267999456
"11723","Korea","Web","Department Store","Mountaineering Equipment","Climbing Accessories","Firefly Rechargeable Battery",2012,"Q2 2012",8861.92,1142,0.59407216,8634.04067136205
"11730","Korea","Web","Department Store","Personal Accessories","Watches","Mountain Man Digital",2012,"Q2 2012",8637.04,214,0.50445986,8597.92579168216
"11841","Korea","Web","Sports Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q2 2012",8544.04,251,0.54112808,8599.36571684181
"11914","Korea","Sales visit","Department Store","Mountaineering Equipment","Climbing Accessories","Granite Chalk Bag",2012,"Q2 2012",8290.8,470,0.51643991,8607.8885171111
"11994","China","Telephone","Outdoors Shop","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q2 2012",8578.32,31,0.58011709,8590.80399967632
"12226","China","Web","Sports Store","Camping Equipment","Sleeping Bags","Hibernator Pillow",2012,"Q2 2012",8321.3,481,0.52947977,8608.31660296937
"12300","China","Sales visit","Warehouse Store","Camping Equipment","Sleeping Bags","Hibernator Pillow",2012,"Q2 2012",8650,500,0.52947977,8609.0560239973
