"","Retailer_country","Order_method_type","Retailer_type","Product_line","Product_type","Product","Year","Quarter","Revenue","Quantity","Gross_margin","pred"
"8712","United States","Telephone","Department Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q2 2012",8305.76,244,0.54112808,8339.33484385675
"8840","United States","Telephone","Outdoors Shop","Personal Accessories","Watches","Infinity",2012,"Q2 2012",8640,39,0.46794444,8673.93685252663
"8841","United States","Telephone","Outdoors Shop","Personal Accessories","Watches","Lux",2012,"Q2 2012",8292.4,47,0.47485408,8379.0318993134
"9086","United States","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8623.3,254,0.58645066,8649.23109293745
"9185","United States","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly 2",2012,"Q2 2012",8243.22,306,0.39631843,8305.94016106698
"9447","United States","Sales visit","Outdoors Shop","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q2 2012",8432.6,110,0.49126011,8440.81933659583
"9750","Canada","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8952.3,261,0.59067055,8867.79686029472
"9928","Canada","Web","Eyewear Store","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8395.1,134,0.44070231,8410.70314631561
"9966","Canada","Web","Sports Store","Personal Accessories","Watches","Mountain Man Digital",2012,"Q2 2012",8965.99,263,0.41333863,9612.05972343982
"10058","Mexico","Web","Golf Shop","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q2 2012",8662.58,113,0.49126011,8563.80180378782
"10063","Mexico","Web","Golf Shop","Personal Accessories","Watches","Kodiak",2012,"Q2 2012",8541.3,71,0.43660099,8559.08241401059
"10120","Mexico","Web","Department Store","Personal Accessories","Eyewear","Maximus",2012,"Q2 2012",8640,108,0.4965,8679.65600506263
"10196","Mexico","Web","Outdoors Shop","Personal Accessories","Eyewear","Polar Sun",2012,"Q2 2012",8282.52,136,0.57061377,8384.93764556148
"10210","Mexico","Web","Outdoors Shop","Personal Accessories","Knives","Bear Edge",2012,"Q2 2012",8449.5,215,0.40127226,8481.24539853895
"10345","Mexico","Sales visit","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q2 2012",8598.1,173,0.43420523,8721.28457294056
"10458","Brazil","Web","Department Store","Camping Equipment","Sleeping Bags","Hibernator Pad",2012,"Q2 2012",8753.46,222,0.51382196,8746.38203893684
"10476","Brazil","Web","Department Store","Personal Accessories","Watches","Mountain Man Combination",2012,"Q2 2012",8640.59,91,0.52607403,8609.16099727207
"10625","Brazil","Web","Outdoors Shop","Personal Accessories","Knives","Bear Edge",2012,"Q2 2012",8724.6,222,0.40127226,8682.98472292271
"10762","Japan","Telephone","Golf Shop","Personal Accessories","Watches","Mountain Man Combination",2012,"Q2 2012",8936.58,94,0.52666456,8697.97539454327
"10856","Japan","E-mail","Department Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q2 2012",8525.58,106,0.50267313,8548.73169677055
"10983","Japan","Web","Department Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q2 2012",8847.3,110,0.50267313,8664.01131070413
"11072","Japan","Web","Outdoors Shop","Personal Accessories","Watches","Zodiak",2012,"Q2 2012",8681.8,83,0.42428298,8715.92006924955
"11191","Japan","Web","Sports Store","Personal Accessories","Eyewear","Polar Ice",2012,"Q2 2012",8783.5,82,0.53610975,8576.10361335543
"11296","Singapore","Web","Golf Shop","Personal Accessories","Watches","Infinity",2012,"Q2 2012",8580,38,0.45662005,8599.96193255112
"11301","Singapore","Web","Golf Shop","Personal Accessories","Eyewear","Polar Ice",2012,"Q2 2012",8968.3,86,0.52350613,8641.1273928502
"11311","Singapore","Web","Golf Shop","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8457.75,135,0.44772546,8467.52724729456
"11389","Singapore","Web","Department Store","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8332.45,133,0.44772546,8409.88744032777
"11414","Singapore","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8385.65,247,0.58645066,8447.49176855369
"11708","Korea","Web","Department Store","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q2 2012",8697.5,175,0.43420523,8815.44713664915
"11712","Korea","Web","Department Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q2 2012",8510,250,0.54112808,8512.25426475711
"11730","Korea","Web","Department Store","Personal Accessories","Watches","Mountain Man Digital",2012,"Q2 2012",8637.04,214,0.50445986,8563.22240238548
"11818","Korea","Web","Warehouse Store","Outdoor Protection","First Aid","Compact Relief Kit",2012,"Q2 2012",8407.42,373,0.60070985,8388.224776786
"11841","Korea","Web","Sports Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q2 2012",8544.04,251,0.54112808,8541.0741682405
"11994","China","Telephone","Outdoors Shop","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q2 2012",8578.32,31,0.58011709,8558.70089399589
"12324","Australia","Telephone","Golf Shop","Golf Equipment","Golf Accessories","Course Pro Golf Bag",2012,"Q2 2012",8245.6,40,0.61336955,8511.4641797583
"12388","Australia","Telephone","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Belay",2012,"Q2 2012",8225,125,0.47613982,8452.30040200906
"12403","Australia","Telephone","Outdoors Shop","Personal Accessories","Watches","Mountain Man Extreme",2012,"Q2 2012",8943.19,31,0.59724774,8627.00786534453
"12575","Australia","Sales visit","Golf Shop","Golf Equipment","Golf Accessories","Course Pro Golf Bag",2012,"Q2 2012",8245.6,40,0.61336955,8474.9414230165
"12792","Netherlands","Telephone","Sports Store","Personal Accessories","Binoculars","Seeker Mini",2012,"Q2 2012",8686.44,108,0.50267313,8606.37150373734
"12839","Netherlands","Mail","Eyewear Store","Personal Accessories","Eyewear","Polar Sports",2012,"Q2 2012",8535.16,74,0.48950928,8512.72222379949
"13313","Sweden","Web","Sports Store","Personal Accessories","Eyewear","Bella",2012,"Q2 2012",8640,128,0.45192593,8652.35181540366
"13439","Denmark","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8385.65,247,0.58645066,8447.49176855369
"13467","Denmark","Web","Outdoors Shop","Personal Accessories","Watches","Infinity",2012,"Q2 2012",8480,37,0.44619575,8529.57604287166
"13472","Denmark","Web","Outdoors Shop","Personal Accessories","Watches","Kodiak",2012,"Q2 2012",8781.9,73,0.44023275,8631.20354692036
"13522","Denmark","Web","Sports Store","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8520.4,136,0.44070231,8468.3429532824
"13535","Denmark","Sales visit","Direct Marketing","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q2 2012",8585.5,50,0.45186652,8568.75520755322
"13608","Finland","Web","Department Store","Personal Accessories","Watches","Infinity",2012,"Q2 2012",8600,37,0.43808372,8497.23003143664
"13625","Finland","Web","Department Store","Personal Accessories","Knives","Bear Edge",2012,"Q2 2012",8567.4,218,0.40127226,8567.70510898914
"13637","Finland","Web","Department Store","Outdoor Protection","First Aid","Deluxe Family Relief Kit",2012,"Q2 2012",8996.75,265,0.58645066,8966.25003125477
"13674","Finland","Web","Warehouse Store","Personal Accessories","Knives","Bear Edge",2012,"Q2 2012",8488.8,216,0.40127226,8510.06530202235
"13841","Finland","Web","Sports Store","Personal Accessories","Eyewear","Bella",2012,"Q2 2012",8235,122,0.44755556,8462.00592566686
"13855","Finland","Web","Sports Store","Personal Accessories","Knives","Bear Survival Edge",2012,"Q2 2012",8328,96,0.48126801,8499.17014732121
"13935","France","Fax","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Pulley",2012,"Q2 2012",8256.64,224,0.50217037,8330.0914613183
"14116","France","Telephone","Outdoors Shop","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q2 2012",8585.5,50,0.45186652,8605.27796429502
"14226","France","Web","Department Store","Personal Accessories","Watches","Zodiak",2012,"Q2 2012",8368,80,0.42428298,8629.46035879937
"14239","France","Web","Department Store","Personal Accessories","Knives","Max Gizmo",2012,"Q2 2012",8518.6,223,0.53769634,8645.83050052388
"14428","France","Web","Eyewear Store","Personal Accessories","Eyewear","Hawk Eye",2012,"Q2 2012",8424,208,0.40222222,8496.04726329339
"14645","Germany","E-mail","Department Store","Personal Accessories","Watches","Mountain Man Deluxe",2012,"Q2 2012",8846.77,113,0.50185209,8606.03639934521
"14695","Germany","E-mail","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Belay",2012,"Q2 2012",8948.8,136,0.47613982,8769.31934032639
"14720","Germany","E-mail","Outdoors Shop","Personal Accessories","Binoculars","Seeker Extreme",2012,"Q2 2012",8585.5,50,0.45186652,8605.27796429502
"15091","Switzerland","Fax","Golf Shop","Personal Accessories","Watches","Venue",2012,"Q2 2012",8906,122,0.41384684,8659.36028277631
"15095","Switzerland","Fax","Golf Shop","Personal Accessories","Watches","Legend",2012,"Q2 2012",8483.2,32,0.43047906,8560.17223537371
"15208","Switzerland","Web","Department Store","Personal Accessories","Eyewear","Polar Sun",2012,"Q2 2012",8201.24,135,0.5695468,8351.86329235085
"15376","Switzerland","Web","Sports Store","Camping Equipment","Packs","Canyon Mule Cooler",2012,"Q2 2012",8789.64,267,0.51397327,8789.64
"15455","Switzerland","Sales visit","Sports Store","Camping Equipment","Lanterns","EverGlow Lamp",2012,"Q2 2012",8855.5,398,0.5505618,9973.88735652267
"15507","United Kingdom","Fax","Outdoors Shop","Personal Accessories","Eyewear","Bella",2012,"Q2 2012",8977.5,133,0.45190643,8796.37357827299
"15529","United Kingdom","Telephone","Golf Shop","Golf Equipment","Putters","Blue Steel Putter",2012,"Q2 2012",8343,100,0.50617284,8498.77037467514
"15585","United Kingdom","Telephone","Department Store","Golf Equipment","Putters","Blue Steel Putter",2012,"Q2 2012",8843.58,106,0.50617284,8671.6897955755
"15795","United Kingdom","Web","Outdoors Shop","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q2 2012",8835.9,177,0.43670254,8883.04474922277
"15914","United Kingdom","Web","Sports Store","Camping Equipment","Packs","Canyon Mule Carryall",2012,"Q2 2012",8981.7,130,0.40396584,8812.51460268119
"15955","United Kingdom","Web","Sports Store","Personal Accessories","Knives","Max Gizmo",2012,"Q2 2012",8289.4,217,0.53769634,8472.91107962352
"16072","Belgium","Web","Department Store","Personal Accessories","Watches","Kodiak",2012,"Q2 2012",8954.5,70,0.47149478,8669.39845188233
"16147","Belgium","Web","Outdoors Shop","Mountaineering Equipment","Climbing Accessories","Granite Belay",2012,"Q2 2012",8883,135,0.47613982,8740.499436843
"16221","Belgium","Web","Sports Store","Camping Equipment","Lanterns","Firefly Extreme",2012,"Q2 2012",8888.94,177,0.44006372,8896.44716103771
"16243","Belgium","Web","Sports Store","Personal Accessories","Eyewear","Bella",2012,"Q2 2012",8977.5,133,0.44755556,8779.02486398418
"16253","Belgium","Web","Sports Store","Personal Accessories","Eyewear","Retro",2012,"Q2 2012",8269.8,132,0.44070231,8353.06333934883
"16301","Belgium","Sales visit","Outdoors Shop","Camping Equipment","Lanterns","EverGlow Single",2012,"Q2 2012",8699.45,257,0.46706056,8674.06878488905
"16509","Austria","Web","Department Store","Personal Accessories","Eyewear","Trendi",2012,"Q2 2012",8651.6,172,0.39681909,8615.75121641649
"16649","Austria","Web","Sports Store","Personal Accessories","Eyewear","Polar Ice",2012,"Q2 2012",8433.7,80,0.5286529,8488.73026800563
"16700","Austria","Sales visit","Sports Store","Camping Equipment","Lanterns","Flicker Lantern",2012,"Q2 2012",8646.16,254,0.54112808,8591.01112194888
