"","x"
"285",5901218.6890632
"286",6887445.8793757
"287",4762573.9520864
"288",4181041.19796466
"289",5183298.30539322
"290",4675046.11860392
"291",5387504.86819769
"292",6840610.36525537
"293",4400230.39348969
"294",5488858.0387283
"295",5838347.7522742
"296",4409640.78801603
"297",7177659.17195377
"298",4822309.72543678
"299",3862298.0101651
"300",7435542.3893146
"301",4082924.54741368
"302",7707301.67207389
"303",4962979.93615095
"304",7422595.72599709
"305",7587125.45214461
"306",7419466.0583641
"307",7139409.51542433
"308",7833826.52359297
"309",5412642.90276561
"310",7652335.20005885
"311",7616095.26291654
"312",5964507.53791991
"313",7852089.4511137
"314",5571479.44370339
"315",4392924.89930295
"316",5950505.34119463
"317",7867718.79834937
"318",7189219.6523871
"319",5061069.69795826
"320",4506475.94099698
"321",7550761.33720911
"322",4454563.53060269
"323",5234192.74244453
"324",4472022.40349359
"325",5267543.9193778
"326",6864859.24535369
"327",4112440.08896882
"328",5532310.1592615
"329",5001640.1776134
"330",5676621.93219019
"331",4941644.79184239
"332",5113771.58052966
"333",4815982.19792914
"334",6902233.88560973
"335",5889251.76750108
"336",4471869.0224588
"337",7461277.96705613
"338",5568752.28360533
"339",4868808.55188112
"340",7691131.38389598
"341",6713761.70570044
"342",7686532.5542767
"343",4743468.73313711
"344",7774137.0939516
"345",6694451.7057114
"346",5744250.89754601
"347",5489189.19000933
"348",7459192.28881258
"349",6070505.58001612
"350",7017445.05264239
"351",4905004.76767237
"352",7263476.5750617
"353",4430894.55620794
"354",5068598.42851621
"355",7596711.76724497
"356",5475490.28321222
"357",4505315.74130883
"358",7737748.19611017
"359",4822927.47661722
"360",3961130.29430297
"361",4956974.31598065
"362",5000229.91516047
"363",5416853.70358123
"364",5676179.13015144
"365",7345430.55497873
"366",5104978.02852301
"367",5392331.33186194
"368",7423621.51293213
"369",6841419.80736408
"370",4886727.56037745
"371",7827680.50217946
"372",6742188.182542
"373",7070480.72110672
"374",4386682.93348235
"375",4904089.15712561
"376",7949064.1907016
"377",5194468.79315796
"378",7087159.83592673
"379",5310780.41924591
"380",7049389.25528567
"381",4691714.1246343
"382",5952537.06596567
"383",5248843.94577578
"384",4387097.30845956
"385",7888378.16695884
"386",5699891.81687662
"387",7161377.19430094
"388",5433194.43495548
"389",5315960.96742492
"390",4197973.65553708
"391",7530550.60797972
"392",7236887.5776734
"393",6901731.75683706
"394",7022563.50981191
"395",5968884.49844267
"396",4628163.39478051
"397",5211997.76103736
"398",4892099.01263668
"399",4939260.80319322
"400",5324467.26492531
"401",5833978.25636399
"402",7754547.21459448
"403",5832629.96460901
"404",6960094.59421085
"405",5428864.25370193
"406",7439907.88536507
"407",4324968.24249841
"408",7219733.16336794
"409",7363931.64706957
"410",4895901.13720876
"411",5266803.68722978
"412",5906790.24955246
"413",5408432.4773161
"414",7126595.33787436
"415",4705994.95087086
"416",7484096.02187883
"417",7556232.86926485
"418",7766742.31246168
"419",4191180.7045961
"420",7772545.32027821
"421",4537873.07638994
"422",7145801.34547848
"423",7331038.43894874
"424",4261954.43911482
"425",4273832.07626742
"426",5817646.77593188
"427",4865644.47214031
"428",4787957.31507496
"429",7676719.58920432
"430",5918089.74605652
"431",5835736.0257738
"432",4884097.33488642
"433",7142012.72084635
"434",6693693.72372511
"435",5303111.63938842
"436",7605417.25619451
"437",6004199.96342478
"438",5377935.33202424
"439",7176681.36759191
"440",6955991.08940072
"441",7204728.09574542
"442",5777253.11753168
"443",5261122.70381521
"444",4510880.07168167
"445",4831176.77496379
"446",7145450.03425994
"447",5636576.33861177
"448",7250569.00005038
"449",7638527.74921582
"450",7132685.01282722
"451",5185638.48379316
"452",7649241.59645994
"453",4552374.14224468
"454",5049694.67308684
"455",4732973.67257162
"456",7124536.83649589
"457",4231606.36989167
"458",4709551.47139137
"459",7422758.38867124
"460",4506373.08567161
"461",5183306.57160141
"462",5437972.84972548
"463",6575138.20741268
"464",5893756.59300046
"465",5279683.09609192
"466",8042484.61005269
"467",7747126.70978483
"468",7357286.36297208
"469",5816616.01541692
"470",7769153.23228169
"471",4705620.72650817
"472",7546229.92496826
"473",4996070.87366062
"474",4871615.36190517
"475",5663326.34162164
"476",5726630.71208935
"477",7379397.24185887
"478",6210376.18166737
"479",6902782.7528861
"480",5015239.43058255
"481",5611615.10168089
"482",5912008.1087287
"483",4485125.65538549
"484",4088731.31259939
"485",5567319.36221746
"486",4773850.3426867
"487",4179810.64000299
"488",3769859.08951246
"489",4743907.03759015
"490",4895698.55316423
"491",5584428.91719647
"492",4637699.24765405
"493",5424588.68137308
"494",5754656.32191364
"495",5105711.75471587
"496",4483828.99433026
"497",6903157.37369696
"498",4005752.71217194
"499",5452307.82508781
"500",7084406.32253567
"501",4949133.01584832
"502",5217190.95756405
"503",5373599.09320586
"504",4044297.32015766
"505",7024867.66066229
"506",5836605.67491276
"507",4849545.20572342
"508",4588788.59296848
"509",6110230.04640208
"510",5731898.94069994
"511",5327632.06046773
"512",5576002.56121633
"513",5882119.05069205
"514",6769296.02130883
"515",7731690.68813726
"516",4252664.98211188
"517",5820443.65071036
"518",7426307.85853333
"519",4705706.37709338
"520",5599870.5967274
"521",5743235.71166151
"522",4431589.07759256
"523",5311212.45197425
"524",5201131.33830356
"525",4335497.50123052
"526",8073731.73072434
"527",7578127.61261983
"528",7235351.29098023
"529",4359262.1979077
"530",7323156.5771966
"531",5982194.93377792
"532",4776161.8738016
"533",4303082.24662746
"534",5152680.00458714
"535",4108479.22348695
"536",5165100.32923855
"537",4611559.70940841
"538",7518819.97799262
"539",4282499.52730481
"540",6182076.25334008
"541",5530881.21835996
"542",5359497.65126994
"543",5202856.3279479
"544",7259942.24037558
"545",7089228.5282663
"546",5872700.89473245
"547",7118986.18452032
"548",7262055.03148062
"549",4814289.48045832
"550",6028870.11327849
"551",5160969.53823592
"552",4675020.35162503
"553",4664882.74650842
"554",7821007.84233031
"555",7913091.21128156
"556",4660850.96627547
"557",5597041.99731714
"558",7742795.06134464
"559",7747537.86483668
"560",5801671.31740806
"561",5576347.98207408
"562",5356278.53630437
"563",7691252.40808488
"564",5480086.03553993
"565",5723374.99656173
"566",4816618.74986288
"567",5524512.82433665
"568",5306813.17700109
"569",5012582.19319781
"570",7977486.82350847
"571",7279099.54553441
"572",4649887.76506973
"573",5769122.37696681
"574",7090141.84573686
"575",4830164.92418989
"576",4934276.38688357
"577",7023530.90390501
"578",7657667.89942063
"579",3950774.73880524
"580",5153715.73289471
"581",6137314.53869723
"582",5418756.36041135
"583",4203634.47678147
"584",5043536.7700136
"585",5663104.95887212
"586",4414876.92590422
"587",7530395.54670943
"588",5622389.34929106
"589",6623564.80511565
"590",6081265.07987788
"591",3876504.44751602
"592",4818643.60053983
"593",6002017.42399327
"594",7567523.86122545
"595",4788444.00666946
"596",7258584.7545626
"597",5633053.58482334
"598",7900605.34224683
"599",7511757.61194279
"600",7127511.47553361
"601",7478218.12171854
"602",7090512.10252
"603",6824626.60587667
"604",5542187.11909087
"605",6905011.62495768
"606",4286607.79963364
"607",5227494.52681935
"608",4578087.68674357
"609",7329846.10263819
"610",5462783.84829688
"611",7483858.03063973
"612",4065418.28246805
"613",7318977.2532702
"614",4338627.93231814
"615",7078277.44324605
"616",7658960.9011808
"617",4766848.44043034
"618",4571310.73473996
"619",6195522.01826449
"620",7558221.49587831
"621",7275964.26117842
"622",7276195.31166269
"623",6847947.59309453
"624",7601428.41442941
"625",4798069.79874373
"626",6107479.31671518
"627",6066261.31223797
"628",4681563.51020572
"629",4797894.94139387
"630",4529982.60689392
"631",5901527.54526724
"632",4271053.26709685
"633",4191414.53589088
"634",5599045.99678084
"635",5136275.3059198
"636",5715141.39026352
"637",7427080.50963784
"638",5578600.13627408
"639",7343069.96482004
"640",4906493.0301815
"641",7532880.41167959
"642",5425533.13908395
"643",7567652.08997521
"644",5111748.80693121
"645",7433650.36718107
"646",7397760.96416141
"647",6052133.38676101
"648",5365978.17850365
"649",7594559.62494357
"650",5252742.90398712
"651",7221138.39922148
"652",7258618.97827661
"653",7242869.30630306
"654",4442819.30599016
"655",5269356.67711988
"656",6851915.50923482
"657",5426905.82342366
"658",7142573.90733578
"659",5075402.83391636
"660",5123637.77210446
"661",7363487.71837923
"662",7191936.03481511
"663",5086763.73712649
"664",7650935.79541967
"665",5294776.16756993
"666",6957846.20640066
"667",6801348.63054573
"668",4545441.28168912
"669",4353118.38001122
"670",7540678.64690555
"671",4331628.27434431
"672",5163330.15494265
"673",5567773.90906946
"674",5372017.61046069
"675",7301838.16492249
"676",5639086.09967995
"677",7629202.8144929
"678",7552526.2775889
"679",7041646.20015093
"680",5538863.26823535
"681",7664852.36941847
"682",5674487.17836791
"683",6601041.27462532
"684",7046687.94171255
"685",5704816.00838391
"686",5310598.04426405
"687",7124352.27453192
"688",5223916.69290683
"689",4623206.08297271
"690",7243515.802503
"691",7516632.68097887
"692",5394073.40632973
"693",6001172.59174594
"694",5661018.15687064
"695",5409948.3798544
"696",5619571.37555676
"697",7812001.53185295
"698",4749004.99633541
"699",4414570.03976875
"700",5034269.96905195
"701",7952598.40184285
"702",5334578.72580392
"703",4795950.17008429
"704",5563506.26446206
"705",7645775.0035472
"706",4456810.91819983
"707",5451629.15867461
"708",4080391.58376312
"709",5596799.34228078
"710",6107662.21458375
"711",7696730.08765946
"712",5496999.11422022
"713",5826746.82763896
"714",4832129.15104398
"715",4408874.56148281
"716",5667913.09977042
"717",5609464.58948918
"718",5323131.1320225
"719",6107251.83662781
"720",4784042.04913608
"721",4373858.53421889
"722",5536362.84188116
"723",5701631.12094186
"724",4397111.37998188
"725",7656009.07117094
"726",5456359.59415992
"727",4427343.98293235
"728",5035116.4554582
"729",7445584.5516444
"730",5991414.44969479
"731",7916298.23766552
"732",5362992.95495032
"733",4484879.08618387
"734",6342515.3885643
"735",4352310.74134323
"736",7160495.82069317
"737",4325718.17032471
"738",5662911.1692041
"739",5051453.76282368
"740",7557915.32341133
"741",5362607.26282684
"742",6458353.53224878
"743",4438949.45822795
"744",7087410.68861754
"745",4895963.26270965
"746",5547140.453306
"747",5548044.00273504
"748",5270732.32138843
"749",4880328.21781761
"750",7404411.03520619
"751",5979902.26485061
"752",7221670.14802835
"753",4366002.29547971
"754",5738892.56476332
"755",5326005.20643839
"756",7177639.14663007
"757",5119317.26694528
"758",4338529.73750153
"759",5537153.80442782
"760",7546554.7270902
"761",6892660.80517115
"762",5638160.76086469
"763",7289115.4384197
"764",6848465.54747355
"765",7251129.32890538
"766",5076000.21600473
"767",6823793.73154663
"768",4415430.46409731
"769",7422534.89230351
"770",5629405.18994123
"771",4377880.7699223
"772",4733412.02904346
"773",5816413.06436593
"774",4432660.08994466
"775",4172299.94146209
"776",6470230.45664874
"777",7341889.38273821
"778",5569402.40684977
"779",3903304.39993432
"780",7058444.30508768
"781",4952313.65429257
"782",7815337.79048822
"783",7720392.83538417
"784",6935668.21702445
"785",4562209.60327378
"786",7319502.38474618
"787",7293830.70184969
"788",5316874.148049
"789",4218833.33407199
"790",7423056.12672535
"791",4566899.96348628
"792",5848841.46083829
"793",5633862.05939401
"794",4943693.5086444
"795",6035703.79205082
"796",5543216.66952206
"797",5611012.40737054
"798",5434031.74055016
"799",3848388.86423915
"800",6982233.52274476
"801",7759381.25180386
"802",4228946.9780384
"803",8080983.57872241
"804",4584317.4549948
"805",6921281.33167725
"806",7581183.64811864
"807",7187948.66925728
"808",7824985.07896713
"809",7585663.04717418
"810",5151492.19746003
"811",7438111.65044771
"812",4152856.12306935
"813",7820879.04051288
"814",5657002.482585
"815",5619374.379265
"816",5509390.419369
"817",3480427.93573948
"818",4769722.2742783
"819",4498479.98256434
"820",5830095.59685957
"821",5600440.21340391
"822",4734328.89979979
"823",4173245.81657345
"824",5221904.12067744
"825",4273921.26360347
"826",4916064.34879022
"827",5509988.52942813
"828",4655128.60147853
"829",4397991.49048642
"830",5490014.53122826
"831",4478234.8359455
"832",5611574.76028459
"833",5167896.68079067
"834",6235607.48013866
"835",7776785.13123617
"836",5518685.65641283
"837",7522744.0250064
"838",4945554.35399792
"839",5412932.72673955
"840",5646123.52563293
"841",5335204.40628265
"842",7288955.4594826
"843",6932107.44237982
"844",7357473.6688672
"845",5265742.41216681
"846",4801915.14401761
"847",5783021.34186814
"848",7176018.18914367
"849",4708652.28599006
"850",8094122.65408046
"851",5608623.06383272
"852",7621814.87055738
"853",4664318.1402912
"854",7907012.51768732
"855",5207717.35158024
"856",7159920.97333387
"857",5340158.87755732
"858",5516567.40538087
"859",5370806.11548152
"860",3978528.64657145
"861",5148134.70307764
"862",4251489.05672931
"863",7622654.1926968
"864",7700490.6522365
"865",4114584.29071864
"866",7801993.08034212
"867",7525992.68664228
"868",4440177.16524853
"869",7908150.89150473
"870",4936263.25852565
"871",7094081.11459211
"872",5684536.69824515
"873",5451865.36971108
"874",7215665.71357126
"875",7455089.8903096
"876",7133495.46127595
"877",5897511.66077122
"878",7157221.60617492
"879",4712089.85940017
"880",7239385.38371796
"881",5942176.0533795
"882",7361516.9229879
"883",4514415.96634692
"884",5577737.01490685
"885",4638568.0330316
"886",5108421.44150712
"887",7133664.27436259
"888",7200946.17510969
"889",5985860.19714613
"890",4694373.32985494
