Movie,vote_average,revenue,,,,,,,,,,,
Toy Story,7.7,373554033,,,,vote_average,revenue,,,,,,
Once Were Warriors,7.6,2201126,,,,,,,,,,,
Outbreak,6.4,189859560,,,,,,,,,,,
The Perez Family,6.6,2832826,,,,,,,,,,,
Pulp Fiction,8.3,213928762,,,,,,,,,,,
Panther,6.4,6834525,,,,,,,,,,,
Pushing Hands,6.1,152322,,,,,,,,,,,
Priest,6.4,4176932,,,,,,,,,,,
The Quick and the Dead,6.2,18552460,,,,,,,,,,,
Roommates,6.4,12400000,,,,,,,,,,,
Prêt-à-Porter,5.3,11300653,,,,,,,,,,,
The Swan Princess,6.5,9771658,,,,,,,,,,,
The Specialist,5.5,170362582,,,,,,,,,,,
Stargate,6.8,196567262,,,,,,,,,,,
The Santa Clause,6.3,189833357,,,,,,,,,,,
The Shawshank Redemption,8.5,28341469,,,,,,,,,,,
Suture,6,102780,,,,,,,,,,,
Tank Girl,5.5,4064495,,,,,,,,,,,
Star Trek: Generations,6.4,120000000,,,,,,,,,,,
Tales from the Hood,5.4,12000000,,,,,,,,,,,
Tommy Boy,6.8,32648673,,,,,,,,,,,
What's Eating Gilbert Grape,7.5,10032765,,,,,,,,,,,
Virtuosity,5.4,24048000,,,,,,,,,,,
While You Were Sleeping,6.5,182057016,,,,,,,,,,,
Double Happiness,5.5,759393,,,,,,,,,,,
Muriel's Wedding,6.9,15119639,,,,,,,,,,,
Ace Ventura: Pet Detective,6.4,107217396,,,,,,,,,,,
"The Adventures of Priscilla, Queen of the Desert",7.2,11220670,,,,,,,,,,,
Bitter Moon,7,1862805,,,,,,,,,,,
Clear and Present Danger,6.4,215887717,,,,,,,,,,,
The Client,6.4,117615211,,,,,,,,,,,
The Crow,7.3,94000000,,,,,,,,,,,
Cobb,6.1,1007583,,,,,,,,,,,
The Flintstones,5,341631208,,,,,,,,,,,
Forrest Gump,8.2,677945399,,,,,,,,,,,
Four Weddings and a Funeral,6.6,254700832,,,,,,,,,,,
Higher Learning,6.4,38290723,,,,,,,,,,,
I Like It Like That,6.3,1777020,,,,,,,,,,,
I Love Trouble,5.3,61947267,,,,,,,,,,,
The Lion King,8,788241776,,,,,,,,,,,
Little Buddha,6,4858139,,,,,,,,,,,
New Nightmare,6.4,18090181,,,,,,,,,,,
The Mask,6.6,351583407,,,,,,,,,,,
The Naked Gun 33⅓: The Final Insult,6.4,51132598,,,,,,,,,,,
Reality Bites,6.5,20079850,,,,,,,,,,,
Red Rock West,6.4,2000000,,,,,,,,,,,
Speed,6.8,350448145,,,,,,,,,,,
Timecop,5.5,101646581,,,,,,,,,,,
True Lies,6.8,378882411,,,,,,,,,,,
When a Man Loves a Woman,6,50021959,,,,,,,,,,,
Wyatt Earp,6.5,25052000,,,,,,,,,,,
A Man of No Importance,6.5,953,,,,,,,,,,,
A Low Down Dirty Shame,6,29392418,,,,,,,,,,,
Jason's Lyric,5.9,20851521,,,,,,,,,,,
Street Fighter,4.1,99423521,,,,,,,,,,,
In the Mouth of Madness,7.1,8946600,,,,,,,,,,,
Addams Family Values,6.5,48919043,,,,,,,,,,,
The Age of Innocence,7,32255440,,,,,,,,,,,
The Air Up There,5.1,21011500,,,,,,,,,,,
Bad Girls,4.6,15240435,,,,,,,,,,,
Beverly Hills Cop III,5.5,119208989,,,,,,,,,,,
Blink,6.3,16668552,,,,,,,,,,,
Blown Away,6,30156002,,,,,,,,,,,
Body Snatchers,5.8,428868,,,,,,,,,,,
Boxing Helena,4.5,1796389,,,,,,,,,,,
A Bronx Tale,7.4,17287898,,,,,,,,,,,
Cabin Boy,4.9,3662459,,,,,,,,,,,
Calendar Girl,3.7,2570145,,,,,,,,,,,
Carlito's Way,7.7,36516012,,,,,,,,,,,
Clean Slate,5.7,7355425,,,,,,,,,,,
Cliffhanger,6.1,255000211,,,,,,,,,,,
Color of Night,5.4,19726050,,,,,,,,,,,
Dave,6.3,63000000,,,,,,,,,,,
Dazed and Confused,7.4,7993039,,,,,,,,,,,
Demolition Man,6.4,159055768,,,,,,,,,,,
Flesh and Bone,6.2,9488998,,,,,,,,,,,
For Love or Money,5.7,11146270,,,,,,,,,,,
The Firm,6.6,270248367,,,,,,,,,,,
Free Willy,6,153698625,,,,,,,,,,,
The Fugitive,7.2,368875760,,,,,,,,,,,
Geronimo: An American Legend,5.9,18635620,,,,,,,,,,,
The Getaway,5.4,30,,,,,,,,,,,
Guilty as Sin,5.6,22886222,,,,,,,,,,,
Hard Target,6.1,74189677,,,,,,,,,,,
Hot Shots! Part Deux,6.2,133752825,,,,,,,,,,,
In the Army Now,4.7,28881266,,,,,,,,,,,
In the Line of Fire,6.8,176997168,,,,,,,,,,,
In the Name of the Father,7.6,65796862,,,,,,,,,,,
The Inkwell,3.9,8880705,,,,,,,,,,,
Judgment Night,6.4,12136938,,,,,,,,,,,
Jurassic Park,7.6,920100000,,,,,,,,,,,
Kalifornia,6.5,2395231,,,,,,,,,,,
Killing Zoe,6.1,418961,,,,,,,,,,,
Last Action Hero,6.1,137298489,,,,,,,,,,,
M. Butterfly,6.6,1499795,,,,,,,,,,,
Malice,5.9,46405336,,,,,,,,,,,
The Man without a Face,6.2,24760338,,,,,,,,,,,
Manhattan Murder Mystery,7.1,11285588,,,,,,,,,,,
Menace II Society,7.2,27900000,,,,,,,,,,,
Executive Decision,5.8,121969216,,,,,,,,,,,
Mrs. Doubtfire,7,441286195,,,,,,,,,,,
The Next Karate Kid,4.8,15826984,,,,,,,,,,,
No Escape,6.1,15340000,,,,,,,,,,,
A Perfect World,7.2,135130999,,,,,,,,,,,
Philadelphia,7.6,206678440,,,,,,,,,,,
The Piano,7.1,116700000,,,,,,,,,,,
Poetic Justice,6.9,27515786,,,,,,,,,,,
The Program,6,23042200,,,,,,,,,,,
The Puppet Masters,5.6,8638072,,,,,,,,,,,
The Ref,6.7,11439193,,,,,,,,,,,
The Remains of the Day,7.5,23237911,,,,,,,,,,,
Renaissance Man,5.9,24332324,,,,,,,,,,,
Rising Sun,5.8,107198790,,,,,,,,,,,
RoboCop 3,4.2,10696210,,,,,,,,,,,
Robin Hood: Men in Tights,6.4,35739755,,,,,,,,,,,
Romeo Is Bleeding,5.7,3275585,,,,,,,,,,,
Ruby in Paradise,5.6,1001437,,,,,,,,,,,
Rudy,7.2,22750363,,,,,,,,,,,
Schindler's List,8.3,321365567,,,,,,,,,,,
Searching for Bobby Fischer,7.3,7266383,,,,,,,,,,,
Serial Mom,6.4,7820688,,,,,,,,,,,
The Shadow,5.4,48063435,,,,,,,,,,,
Short Cuts,6.9,6110979,,,,,,,,,,,
Sirens,5.2,7770731,,,,,,,,,,,
Sleepless in Seattle,6.5,227799884,,,,,,,,,,,
Sliver,4.9,116300000,,,,,,,,,,,
Blade Runner,7.9,33139618,,,,,,,,,,,
Son in Law,5.6,36448200,,,,,,,,,,,
So I Married an Axe Murderer,6.1,11585483,,,,,,,,,,,
Super Mario Bros.,4,20915465,,,,,,,,,,,
Surviving the Game,6.1,7690013,,,,,,,,,,,
Terminal Velocity,5,16478900,,,,,,,,,,,
The Nightmare Before Christmas,7.6,75634409,,,,,,,,,,,
The Three Musketeers,6.2,53898845,,,,,,,,,,,
Tombstone,7.4,56505065,,,,,,,,,,,
True Romance,7.5,12281551,,,,,,,,,,,
The Pagemaster,6.2,13670688,,,,,,,,,,,
Chasers,4.7,1596687,,,,,,,,,,,
The Little Rascals,6.3,67308282,,,,,,,,,,,
Princess Caraboo,4.4,3021629,,,,,,,,,,,
Home Alone,7.1,476684675,,,,,,,,,,,
Ghost,6.9,505000000,,,,,,,,,,,
Aladdin,7.4,504050219,,,,,,,,,,,
Terminator 2: Judgment Day,7.7,520000000,,,,,,,,,,,
Dances with Wolves,7.6,424208848,,,,,,,,,,,
Batman,7,411348924,,,,,,,,,,,
The Silence of the Lambs,8.1,272742922,,,,,,,,,,,
Snow White and the Seven Dwarfs,6.9,184925486,,,,,,,,,,,
Beauty and the Beast,7.5,377350553,,,,,,,,,,,
Pinocchio,6.9,84300000,,,,,,,,,,,
Pretty Woman,7,463000000,,,,,,,,,,,
The Wild Bunch,7.7,638641,,,,,,,,,,,
One Fine Day,6.1,97529550,,,,,,,,,,,
Candyman: Farewell to the Flesh,5,13940383,,,,,,,,,,,
Fargo,7.7,60611975,,,,,,,,,,,
Homeward Bound II: Lost in San Francisco,6,32709423,,,,,,,,,,,
Hellraiser: Bloodline,4.9,16675000,,,,,,,,,,,
The Aristocats,7.1,55675257,,,,,,,,,,,
The Last Supper,6.5,442965,,,,,,,,,,,
Primal Fear,7.4,102616183,,,,,,,,,,,
All Dogs Go to Heaven 2,5,8620678,,,,,,,,,,,
Jack & Sarah,5.1,218626,,,,,,,,,,,
Girl 6,5.7,4939939,,,,,,,,,,,
Happy Weekend,0,65335,,,,,,,,,,,
Courage Under Fire,6.2,100860818,,,,,,,,,,,
Mission: Impossible,6.7,457696359,,,,,,,,,,,
DragonHeart,6.4,115267375,,,,,,,,,,,
James and the Giant Peach,6.2,28921264,,,,,,,,,,,
Faithful,4.8,9789900,,,,,,,,,,,
Bloodsport II,5.2,684351,,,,,,,,,,,
Space Jam,6.5,250200000,,,,,,,,,,,
Barbarella,5.7,2500000,,,,,,,,,,,
Mrs. Winterbourne,5.5,10070000,,,,,,,,,,,
Delta of Venus,3.3,62949,,,,,,,,,,,
The Quest,5.3,57400547,,,,,,,,,,,
Oliver & Company,6.5,74151346,,,,,,,,,,,
Flipper,5.3,20080020,,,,,,,,,,,
The Craft,6.3,24769466,,,,,,,,,,,
Last Dance,5.6,5,,,,,,,,,,,
Original Gangstas,5.5,3014000,,,,,,,,,,,
The Rock,6.9,335062621,,,,,,,,,,,
Twister,6.1,494471524,,,,,,,,,,,
Barb Wire,3.9,3793614,,,,,,,,,,,
GHOST IN THE SHELL,7.8,2287714,,,,,,,,,,,
The Arrival,6.1,14048372,,,,,,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,9440272,,,,,,,,,,,
The Phantom,4.7,17300889,,,,,,,,,,,
Striptease,4.4,113309743,,,,,,,,,,,
Jack,5.9,58620973,,,,,,,,,,,
I Shot Andy Warhol,6.1,1814290,,,,,,,,,,,
Trainspotting,7.8,16491080,,,,,,,,,,,
Independence Day,6.7,816969268,,,,,,,,,,,
The Fan,5.7,18626419,,,,,,,,,,,
The Hunchback of Notre Dame,6.8,100138851,,,,,,,,,,,
The Cable Guy,5.7,102825796,,,,,,,,,,,
Kingpin,6.7,25023434,,,,,,,,,,,
Eraser,5.6,242295562,,,,,,,,,,,
The Nutty Professor,5.4,128769345,,,,,,,,,,,
Daylight,5.8,159212469,,,,,,,,,,,
The Frighteners,6.7,29359216,,,,,,,,,,,
Lone Star,6.9,13269963,,,,,,,,,,,
Phenomenon,6.2,152036382,,,,,,,,,,,
She's the One,5.7,9482579,,,,,,,,,,,
A Time to Kill,7,152266007,,,,,,,,,,,
American Buffalo,6.2,665450,,,,,,,,,,,
Fled,5.2,17193231,,,,,,,,,,,
Joe's Apartment,5,4619014,,,,,,,,,,,
The First Wives Club,6.5,116400000,,,,,,,,,,,
Ransom,6.4,309492681,,,,,,,,,,,
High School High,5.4,21302121,,,,,,,,,,,
Foxfire,6.3,258263,,,,,,,,,,,
Chain Reaction,5.3,60209334,,,,,,,,,,,
Matilda,6.9,33459416,,,,,,,,,,,
Emma,6.7,22231658,,,,,,,,,,,
The Crow: City of Angels,5.2,17917287,,,,,,,,,,,
Bordello of Blood,5,5600000,,,,,,,,,,,
The Spitfire Grill,6.8,12643776,,,,,,,,,,,
Escape from L.A.,5.6,42277365,,,,,,,,,,,
Basquiat,6.6,3011195,,,,,,,,,,,
Tin Cup,5.9,53854588,,,,,,,,,,,
Dingo,6,300000,,,,,,,,,,,
The Godfather,8.5,245066411,,,,,,,,,,,
Manny & Lo,6.3,431326,,,,,,,,,,,
Bound,6.9,7011317,,,,,,,,,,,
The Relic,5.8,33956608,,,,,,,,,,,
The Island of Dr. Moreau,4.6,49627779,,,,,,,,,,,
Bulletproof,5.4,22611954,,,,,,,,,,,
Halloween: The Curse of Michael Myers,5,15116634,,,,,,,,,,,
Singin' in the Rain,7.9,7200000,,,,,,,,,,,
An American in Paris,6.9,4500000,,,,,,,,,,,
Breakfast at Tiffany's,7.6,9500000,,,,,,,,,,,
Vertigo,8,28000000,,,,,,,,,,,
Rear Window,8.2,36764313,,,,,,,,,,,
It Happened One Night,7.7,4500000,,,,,,,,,,,
North by Northwest,7.8,13275000,,,,,,,,,,,
The Apartment,8.1,25000000,,,,,,,,,,,
Some Like It Hot,8,25000000,,,,,,,,,,,
Charade,7.7,13474588,,,,,,,,,,,
Casablanca,7.9,10462500,,,,,,,,,,,
The Maltese Falcon,7.8,1000000,,,,,,,,,,,
My Fair Lady,7.4,72070731,,,,,,,,,,,
Roman Holiday,7.8,12000000,,,,,,,,,,,
The Wizard of Oz,7.4,33754967,,,,,,,,,,,
Gone with the Wind,7.7,400176459,,,,,,,,,,,
Sunset Boulevard,8.2,5000000,,,,,,,,,,,
Citizen Kane,8,23217674,,,,,,,,,,,
2001: A Space Odyssey,7.9,68700000,,,,,,,,,,,
All About Eve,8,63463,,,,,,,,,,,
The Women,6.4,2270000,,,,,,,,,,,
Rebecca,7.7,6000000,,,,,,,,,,,
Notorious,7.8,24464742,,,,,,,,,,,
Spellbound,7.3,7000000,,,,,,,,,,,
To Catch a Thief,7.1,8750000,,,,,,,,,,,
Ninotchka,7.3,2279000,,,,,,,,,,,
The Adventures of Robin Hood,7.6,3981000,,,,,,,,,,,
Laura,7.6,2000000,,,,,,,,,,,
Top Hat,7.4,3202000,,,,,,,,,,,
Giant,7.5,35000000,,,,,,,,,,,
East of Eden,7.5,5,,,,,,,,,,,
The Thin Man,7.4,1423000,,,,,,,,,,,
Around the World in Eighty Days,6.5,42000000,,,,,,,,,,,
It's a Wonderful Life,8,9644124,,,,,,,,,,,
Mr. Smith Goes to Washington,7.9,9600000,,,,,,,,,,,
The Scarlet Letter,5.5,10382407,,,,,,,,,,,
Night of the Living Dead,7.5,30000000,,,,,,,,,,,
The African Queen,7.4,10750000,,,,,,,,,,,
Cat on a Hot Tin Roof,7.6,17570324,,,,,,,,,,,
The Last Time I Saw Paris,5.1,105,,,,,,,,,,,
A Farewell to Arms,6.2,25,,,,,,,,,,,
Dangerous Ground,5,3028094,,,,,,,,,,,
Bliss,4.8,294064,,,,,,,,,,,
Maximum Risk,5.3,51702483,,,,,,,,,,,
Michael Collins,6.8,16900000,,,,,,,,,,,
The Rich Man's Wife,4.9,8538318,,,,,,,,,,,
Last Man Standing,6.2,47267001,,,,,,,,,,,
Set It Off,6.9,41590886,,,,,,,,,,,
Curdled,6.2,49620,,,,,,,,,,,
Extreme Measures,5.7,17380126,,,,,,,,,,,
D3: The Mighty Ducks,5.3,22955097,,,,,,,,,,,
The Chamber,5.9,22540359,,,,,,,,,,,
Escape to Witch Mountain,6.5,20000000,,,,,,,,,,,
"20,000 Leagues Under the Sea",6.9,28200000,,,,,,,,,,,
Cool Runnings,6.8,154864401,,,,,,,,,,,
Angels in the Outfield,5.7,50236831,,,,,,,,,,,
Cinderella,6.8,263591415,,,,,,,,,,,
The Sword in the Stone,6.9,22182353,,,,,,,,,,,
Robin Hood: Prince of Thieves,6.6,390493908,,,,,,,,,,,
Mary Poppins,7.4,102272727,,,,,,,,,,,
Dumbo,6.8,1600000,,,,,,,,,,,
Bedknobs and Broomsticks,6.8,17900000,,,,,,,,,,,
Alice in Wonderland,7,572000000,,,,,,,,,,,
The Fox and the Hound,7,29800000,,,,,,,,,,,
The Sound of Music,7.4,286214286,,,,,,,,,,,
Die Hard,7.5,140767956,,,,,,,,,,,
The Lawnmower Man,5.4,32101000,,,,,,,,,,,
Secrets & Lies,7.1,13417292,,,,,,,,,,,
That Thing You Do!,6.8,34585416,,,,,,,,,,,
To Gillian on Her 37th Birthday,5.1,4137645,,,,,,,,,,,
Surviving Picasso,5.3,1985001,,,,,,,,,,,
Beautiful Thing,7.3,1500000,,,,,,,,,,,
The Long Kiss Goodnight,6.4,89456761,,,,,,,,,,,
The Ghost and the Darkness,6.4,75000000,,,,,,,,,,,
Get on the Bus,7,5731103,,,,,,,,,,,
Shadow Conspiracy,4,2154540,,,,,,,,,,,
Jude,6.6,405000,,,,,,,,,,,
Romeo + Juliet,6.7,147298761,,,,,,,,,,,
Swingers,6.8,4505922,,,,,,,,,,,
Sleepers,7.3,165615285,,,,,,,,,,,
Willy Wonka & the Chocolate Factory,7.4,4000000,,,,,,,,,,,
Sleeper,7,18344729,,,,,,,,,,,
Bananas,6.7,11833696,,,,,,,,,,,
A Fish Called Wanda,7.1,62493712,,,,,,,,,,,
Life of Brian,7.7,20045115,,,,,,,,,,,
Victor/Victoria,6.9,28215453,,,,,,,,,,,
The Great Race,7.2,25333333,,,,,,,,,,,
Bonnie and Clyde,7.6,50700000,,,,,,,,,,,
Dial M for Murder,7.9,3000000,,,,,,,,,,,
Dirty Dancing,7.1,213954274,,,,,,,,,,,
Reservoir Dogs,8.1,14661007,,,,,,,,,,,
Platoon,7.5,138530565,,,,,,,,,,,
Weekend at Bernie's,6.4,30218387,,,,,,,,,,,
Basic Instinct,6.5,352927224,,,,,,,,,,,
The Doors,6.7,34416893,,,,,,,,,,,
The Crying Game,6.9,62548947,,,,,,,,,,,
Glengarry Glen Ross,7.5,10725228,,,,,,,,,,,
Sophie's Choice,7.4,30036000,,,,,,,,,,,
E.T. the Extra-Terrestrial,7.3,792965326,,,,,,,,,,,
Days of Thunder,5.9,157920733,,,,,,,,,,,
Top Gun,6.7,356830601,,,,,,,,,,,
American Strays,6.8,1910,,,,,,,,,,,
A Streetcar Named Desire,7.6,8000000,,,,,,,,,,,
The Funeral,7.3,1227324,,,,,,,,,,,
The People vs. Larry Flynt,6.8,20300385,,,,,,,,,,,
On Golden Pond,7.3,19255967,,,,,,,,,,,
The Return of the Pink Panther,6.7,41833347,,,,,,,,,,,
Drop Dead Fred,5.9,13878334,,,,,,,,,,,
The Abyss,7.1,90000098,,,,,,,,,,,
The Fog,6.4,21378361,,,,,,,,,,,
Escape from New York,6.9,50244700,,,,,,,,,,,
The Howling,6.4,17985893,,,,,,,,,,,
Monty Python and the Holy Grail,7.8,5028948,,,,,,,,,,,
Hustler White,6.8,127251,,,,,,,,,,,
Snowriders,0,2035470,,,,,,,,,,,
When We Were Kings,7.3,2666118,,,,,,,,,,,
Bad Moon,5.7,1100000,,,,,,,,,,,
American Dream,6,269823,,,,,,,,,,,
Delicatessen,7.4,1794187,,,,,,,,,,,
Enchanted April,6.9,13200170,,,,,,,,,,,
The Grifters,6.5,13446769,,,,,,,,,,,
The English Patient,7,231976425,,,,,,,,,,,
Mediterraneo,7.4,4532791,,,,,,,,,,,
My Left Foot: The Story of Christy Brown,7.5,14743391,,,,,,,,,,,
Strictly Ballroom,6.2,33946224,,,,,,,,,,,
Madonna: Truth or Dare,6.3,29,,,,,,,,,,,
Paris is Burning,8.2,3779620,,,,,,,,,,,
One Flew Over the Cuckoo's Nest,8.3,108981275,,,,,,,,,,,
Up in Smoke,6.7,41590893,,,,,,,,,,,
The Empire Strikes Back,8.2,538400000,,,,,,,,,,,
The Princess Bride,7.6,30857814,,,,,,,,,,,
Raiders of the Lost Ark,7.7,389925971,,,,,,,,,,,
Aliens,7.7,183316455,,,,,,,,,,,
12 Angry Men,8.2,1000000,,,,,,,,,,,
Lawrence of Arabia,7.8,69995385,,,,,,,,,,,
A Clockwork Orange,8,26589000,,,,,,,,,,,
To Kill a Mockingbird,7.9,13129846,,,,,,,,,,,
Apocalypse Now,8,89460381,,,,,,,,,,,
Return of the Jedi,7.9,572700000,,,,,,,,,,,
The Third Man,7.9,596349,,,,,,,,,,,
GoodFellas,8.2,46836394,,,,,,,,,,,
Alien,7.9,104931801,,,,,,,,,,,
Psycho,8.3,32000000,,,,,,,,,,,
The Blues Brothers,7.5,115229890,,,,,,,,,,,
The Godfather: Part II,8.3,47542841,,,,,,,,,,,
Full Metal Jacket,7.9,46357676,,,,,,,,,,,
Amadeus,7.8,51973029,,,,,,,,,,,
Raging Bull,7.7,23000000,,,,,,,,,,,
Annie Hall,7.8,38251425,,,,,,,,,,,
The Right Stuff,7.4,21500000,,,,,,,,,,,
Das Boot,7.9,85000000,,,,,,,,,,,
The Sting,7.9,159616327,,,,,,,,,,,
The Terminator,7.4,78371200,,,,,,,,,,,
